Type,EDI_Std_Nomenclature,AISC_Manual_Label,EDI_Std_Nomenclature,AISC_Manual_Label
W,W10X88,W10X88,W250X131,W250X131
W,W10X77,W10X77,W250X115,W250X115
W,W10X68,W10X68,W250X101,W250X101
W,W10X60,W10X60,W250X89,W250X89
W,W10X54,W10X54,W250X80,W250X80
W,W10X49,W10X49,W250X73,W250X73
W,W10X45,W10X45,W250X67,W250X67
W,W10X39,W10X39,W250X58,W250X58
W,W10X33,W10X33,W250X49.1,W250X49.1
W,W10X30,W10X30,W250X44.8,W250X44.8
W,W10X26,W10X26,W250X38.5,W250X38.5
W,W10X22,W10X22,W250X32.7,W250X32.7
W,W10X19,W10X19,W250X28.4,W250X28.4
W,W10X17,W10X17,W250X25.3,W250X25.3
W,W10X15,W10X15,W250X22.3,W250X22.3
W,W10X12,W10X12,W250X17.9,W250X17.9
W,W8X67,W8X67,W200X100,W200X100
W,W8X58,W8X58,W200X86,W200X86
W,W8X48,W8X48,W200X71,W200X71
W,W8X40,W8X40,W200X59,W200X59
W,W8X35,W8X35,W200X52,W200X52
W,W8X31,W8X31,W200X46.1,W200X46.1
W,W8X28,W8X28,W200X41.7,W200X41.7
W,W8X24,W8X24,W200X35.9,W200X35.9
W,W8X21,W8X21,W200X31.3,W200X31.3
W,W8X18,W8X18,W200X26.6,W200X26.6
W,W8X15,W8X15,W200X22.5,W200X22.5
W,W8X13,W8X13,W200X19.3,W200X19.3
W,W8X10,W8X10,W200X15,W200X15
W,W6X25,W6X25,W150X37.1,W150X37.1
W,W6X20,W6X20,W150X29.8,W150X29.8
W,W6X15,W6X15,W150X22.5,W150X22.5
W,W6X16,W6X16,W150X24,W150X24
W,W6X12,W6X12,W150X18,W150X18
W,W6X9,W6X9,W150X13.5,W150X13.5
W,W6X8.5,W6X8.5,W150X13,W150X13
W,W5X19,W5X19,W130X28.1,W130X28.1
W,W5X16,W5X16,W130X23.8,W130X23.8
W,W4X13,W4X13,W100X19.3,W100X19.3
C,C15X50,C15X50,C380X74,C380X74
C,C15X40,C15X40,C380X60,C380X60
C,C15X33.9,C15X33.9,C380X50.4,C380X50.4
C,C12X30,C12X30,C310X45,C310X45
C,C12X25,C12X25,C310X37,C310X37
C,C12X20.7,C12X20.7,C310X30.8,C310X30.8
C,C10X30,C10X30,C250X45,C250X45
C,C10X25,C10X25,C250X37,C250X37
C,C10X20,C10X20,C250X30,C250X30
C,C10X15.3,C10X15.3,C250X22.8,C250X22.8
C,C9X20,C9X20,C230X30,C230X30
C,C9X15,C9X15,C230X22,C230X22
C,C9X13.4,C9X13.4,C230X19.9,C230X19.9
C,C8X18.75,C8X18.75,C200X27.9,C200X27.9
C,C8X13.75,C8X13.75,C200X20.5,C200X20.5
C,C8X11.5,C8X11.5,C200X17.1,C200X17.1
C,C7X14.75,C7X14.75,C180X22,C180X22
C,C7X12.25,C7X12.25,C180X18.2,C180X18.2
C,C7X9.8,C7X9.8,C180X14.6,C180X14.6
C,C6X13,C6X13,C150X19.3,C150X19.3
C,C6X10.5,C6X10.5,C150X15.6,C150X15.6
C,C6X8.2,C6X8.2,C150X12.2,C150X12.2
C,C5X9,C5X9,C130X13,C130X13
C,C5X6.7,C5X6.7,C130X10.4,C130X10.4
C,C4X7.25,C4X7.25,C100X10.8,C100X10.8
C,C4X6.25,C4X6.25,C100X9.3,C100X9.3
C,C4X5.4,C4X5.4,C100X8,C100X8
C,C4X4.5,C4X4.5,C100X6.7,C100X6.7
C,C3X6,C3X6,C75X8.9,C75X8.9
C,C3X5,C3X5,C75X7.4,C75X7.4
C,C3X4.1,C3X4.1,C75X6.1,C75X6.1
C,C3X3.5,C3X3.5,C75X5.2,C75X5.2
L,L12X12X1-3/8,L12X12X1-3/8,L305X305X34.9,L305X305X34.9
L,L12X12X1-1/4,L12X12X1-1/4,L305X305X31.8,L305X305X31.8
L,L12X12X1-1/8,L12X12X1-1/8,L305X305X28.6,L305X305X28.6
L,L12X12X1,L12X12X1,L305X305X25.4,L305X305X25.4
L,L10X10X1-3/8,L10X10X1-3/8,L254X254X34.9,L254X254X34.9
L,L10X10X1-1/4,L10X10X1-1/4,L254X254X31.8,L254X254X31.8
L,L10X10X1-1/8,L10X10X1-1/8,L254X254X28.6,L254X254X28.6
L,L10X10X1,L10X10X1,L254X254X25.4,L254X254X25.4
L,L10X10X7/8,L10X10X7/8,L254X254X22.2,L254X254X22.2
L,L10X10X3/4,L10X10X3/4,L254X254X19,L254X254X19
L,L8X8X1-1/8,L8X8X1-1/8,L203X203X28.6,L203X203X28.6
L,L8X8X1,L8X8X1,L203X203X25.4,L203X203X25.4
L,L8X8X7/8,L8X8X7/8,L203X203X22.2,L203X203X22.2
L,L8X8X3/4,L8X8X3/4,L203X203X19,L203X203X19
L,L8X8X5/8,L8X8X5/8,L203X203X15.9,L203X203X15.9
L,L8X8X9/16,L8X8X9/16,L203X203X14.3,L203X203X14.3
L,L8X8X1/2,L8X8X1/2,L203X203X12.7,L203X203X12.7
L,L8X6X1,L8X6X1,L203X152X25.4,L203X152X25.4
L,L8X6X7/8,L8X6X7/8,L203X152X22.2,L203X152X22.2
L,L8X6X3/4,L8X6X3/4,L203X152X19,L203X152X19
L,L8X6X5/8,L8X6X5/8,L203X152X15.9,L203X152X15.9
L,L8X6X9/16,L8X6X9/16,L203X152X14.3,L203X152X14.3
L,L8X6X1/2,L8X6X1/2,L203X152X12.7,L203X152X12.7
L,L8X6X7/16,L8X6X7/16,L203X152X11.1,L203X152X11.1
L,L8X4X1,L8X4X1,L203X102X25.4,L203X102X25.4
L,L8X4X7/8,L8X4X7/8,L203X102X22.2,L203X102X22.2
L,L8X4X3/4,L8X4X3/4,L203X102X19,L203X102X19
L,L8X4X5/8,L8X4X5/8,L203X102X15.9,L203X102X15.9
L,L8X4X9/16,L8X4X9/16,L203X102X14.3,L203X102X14.3
L,L8X4X1/2,L8X4X1/2,L203X102X12.7,L203X102X12.7
L,L8X4X7/16,L8X4X7/16,L203X102X11.1,L203X102X11.1
